Nama,Harga,Terjual,Kota,Link
Pupuk Kalsium Cair Plus Boron Magnesium Kalsitor Calsium 1 Liter,Rp34.500,448 Terjual,KAB. PURWOREJO,https://shopee.co.id/Pupuk-Kalsium-Cair-Plus-Boron-Magnesium-Kalsitor-Calsium-1-Liter-i.15001736.7502955811?sp_atk=d0d98e5f-5dee-456d-922b-9a686fffe8fc&xptdk=d0d98e5f-5dee-456d-922b-9a686fffe8fc
Karate Plus Boroni dan Yara Liva Nitrabor Pupuk Kalsium Boron dan Nitrat segala Tanaman,Rp11.800,580 Terjual,KAB. KLATEN,https://shopee.co.id/Karate-Plus-Boroni-dan-Yara-Liva-Nitrabor-Pupuk-Kalsium-Boron-dan-Nitrat-segala-Tanaman-i.179825219.9404127108?sp_atk=4e63c468-6624-45eb-a76f-c77dd6145bf1&xptdk=4e63c468-6624-45eb-a76f-c77dd6145bf1
pupuk calnit 1kg/calsium nitrat,Rp7.000 - Rp23.000,43 Terjual,KAB. BEKASI,https://shopee.co.id/pupuk-calnit-1kg-calsium-nitrat-i.220503532.21818529332?sp_atk=27901f0d-d4f2-479c-b117-57589312f623&xptdk=27901f0d-d4f2-479c-b117-57589312f623
pupuk calsium super supercals 900 plus boron isi 1kg,Rp28.000,29 Terjual,KOTA PEKANBARU,https://shopee.co.id/pupuk-calsium-super-supercals-900-plus-boron-isi-1kg-i.217523041.9162065894?sp_atk=6e3b7973-431b-473b-a042-db86e3bb1138&xptdk=6e3b7973-431b-473b-a042-db86e3bb1138
Pupuk kalsium Tanaman HARA GARUDA 1 Kg,Rp20.000,50 Terjual,KAB. WONOSOBO,https://shopee.co.id/Pupuk-kalsium-Tanaman-HARA-GARUDA-1-Kg-i.45320795.8534309280?sp_atk=fca733e5-ecf2-46d4-bc87-7cc386ee161d&xptdk=fca733e5-ecf2-46d4-bc87-7cc386ee161d
PUPUK MANOHARA 1 KG KEMASAN PABRIK KALSIUM BORON,Rp18.200,162 Terjual,KAB. BLORA,https://shopee.co.id/PUPUK-MANOHARA-1-KG-KEMASAN-PABRIK-KALSIUM-BORON-i.180740744.4685889268?sp_atk=f6989976-eaac-40c8-9c1a-293e3032b6b0&xptdk=f6989976-eaac-40c8-9c1a-293e3032b6b0
Magnesium Stearate 20kg/sak,Rp500.000,,KOTA SURABAYA,https://shopee.co.id/Magnesium-Stearate-20kg-sak-i.928107808.19169973037?sp_atk=c2db05d4-5964-4444-958f-72590ea1c08d&xptdk=c2db05d4-5964-4444-958f-72590ea1c08d
Kalsium Tanaman Bunga Buah CALSINUT 1KG/ Calcium Buah/ Calsium Sayuran/ Calcium Bunga/ Pupuk Penguat Akar/ Nutrisi Penguat Tanaman,Rp41.800,23 Terjual,KOTA SEMARANG,https://shopee.co.id/Kalsium-Tanaman-Bunga-Buah-CALSINUT-1KG-Calcium-Buah-Calsium-Sayuran-Calcium-Bunga-Pupuk-Penguat-Akar-Nutrisi-Penguat-Tanaman-i.56077223.20655793398?sp_atk=e64b4743-bd9e-4a93-b4c7-fc74f526d49a&xptdk=e64b4743-bd9e-4a93-b4c7-fc74f526d49a
Pupuk Calbor / Calsium + Boron KALSIUM SUPER 1kg,Rp23.000,388 Terjual,KAB. JEMBER,https://shopee.co.id/Pupuk-Calbor-Calsium-Boron-KALSIUM-SUPER-1kg-i.240913901.6692461449?sp_atk=0e23d99d-28da-4485-a1ef-c377bacb90af&xptdk=0e23d99d-28da-4485-a1ef-c377bacb90af
Pupuk Kalsium FORTUNE 1 KG Pupuk Pencegah Rontok Buah Cabe Cabai Ampuh - Obat Pencegah Rontok Buah Cabe - Obat Buah Cabe Agar Tidak Rontok - Obat Rontok Buah Cabe - Pupuk Agar Buah Cabe Tidak Rontok - Obat Anti Rontok Buah Cabe Cabai,Rp30.000,300 Terjual,KOTA TASIKMALAYA,https://shopee.co.id/Pupuk-Kalsium-FORTUNE-1-KG-Pupuk-Pencegah-Rontok-Buah-Cabe-Cabai-Ampuh-Obat-Pencegah-Rontok-Buah-Cabe-Obat-Buah-Cabe-Agar-Tidak-Rontok-Obat-Rontok-Buah-Cabe-Pupuk-Agar-Buah-Cabe-Tidak-Rontok-Obat-Anti-Rontok-Buah-Cabe-Cabai-i.343348490.13537563882?sp_atk=be7bc9db-8f6e-4c5f-b33d-6f9e27db8ce8&xptdk=be7bc9db-8f6e-4c5f-b33d-6f9e27db8ce8
